ts,rss_mb,avail_mb,total_mb,mps_alloc_mb,mps_reserved_mb
1756712757.024651,56176.9,70989.5,262144.0,88826.6,0.0
1756712757.229112,56217.2,70983.1,262144.0,88819.1,0.0
1756712757.431808,56261.6,70983.1,262144.0,88831.7,0.0
1756712757.633723,56298.7,70983.1,262144.0,88822.7,0.0
1756712757.838630,56345.6,70983.1,262144.0,88822.0,0.0
1756712758.039465,56390.9,70988.8,262144.0,88827.1,0.0
1756712758.306837,56431.8,70981.0,262144.0,88814.5,0.0
1756712758.513322,56482.2,70981.0,262144.0,88830.5,0.0
1756712758.718273,56524.1,70981.0,262144.0,88831.2,0.0
1756712758.920463,56577.1,70981.0,262144.0,88832.6,0.0
1756712759.125932,56627.0,70990.1,262144.0,88821.0,0.0
1756712759.330511,56670.5,70980.3,262144.0,88836.2,0.0
1756712759.535763,56706.9,70982.8,262144.0,88818.5,0.0
1756712759.742086,56747.4,70982.8,262144.0,88828.0,0.0
1756712759.946040,56774.0,70982.8,262144.0,88820.5,0.0
1756712760.150327,56782.3,70715.4,262144.0,88821.0,0.0
1756712760.353805,56739.3,69926.7,262144.0,88819.0,0.0
1756712760.560324,55955.4,69926.7,262144.0,88819.0,0.0
1756712760.951913,55387.2,69926.7,262144.0,88830.6,0.0
1756712761.155717,54887.3,67623.3,262144.0,88828.1,0.0
1756712761.360478,54936.7,67590.2,262144.0,88821.1,0.0
1756712761.568616,54602.5,67590.2,262144.0,88821.5,0.0
1756712761.772325,54540.2,67590.2,262144.0,88824.1,0.0
1756712761.978312,54503.2,67590.2,262144.0,88814.0,0.0
1756712762.182763,54369.6,67366.9,262144.0,88817.0,0.0
1756712762.387994,54412.8,67598.1,262144.0,88825.6,0.0
1756712762.589601,54450.4,67583.1,262144.0,88837.2,0.0
1756712762.792541,54495.3,67546.2,262144.0,88817.0,0.0
1756712762.997990,54508.4,67548.0,262144.0,88824.0,0.0
1756712763.201451,54506.2,67600.5,262144.0,88834.2,0.0
1756712763.406627,54551.9,67576.8,262144.0,88817.0,0.0
1756712763.611757,54606.8,67549.5,262144.0,88826.6,0.0
1756712763.816128,54628.4,67549.5,262144.0,88832.1,0.0
1756712764.018108,54631.7,67549.5,262144.0,88823.5,0.0
1756712764.223407,54630.1,67539.0,262144.0,88830.1,0.0
1756712764.427727,54621.8,67529.1,262144.0,88835.6,0.0
1756712764.631930,54617.2,67529.1,262144.0,88823.6,0.0
1756712764.835458,54614.3,67529.1,262144.0,88831.1,0.0
1756712765.039652,54588.9,67529.1,262144.0,88823.0,0.0
1756712765.244397,54496.0,67404.5,262144.0,88819.0,0.0
1756712765.446868,54498.5,67397.1,262144.0,88826.0,0.0
1756712765.650801,54490.7,67367.7,262144.0,88841.7,0.0
1756712765.853458,54419.0,67367.7,262144.0,88829.7,0.0
1756712766.057855,54450.1,67367.7,262144.0,88832.4,0.0
1756712766.259747,54428.0,67278.1,262144.0,88832.5,0.0
1756712766.464108,54391.7,67238.8,262144.0,88821.0,0.0
1756712766.667585,54389.7,67230.1,262144.0,88828.0,0.0
1756712766.869873,54389.9,67213.7,262144.0,88836.9,0.0
1756712767.071387,54327.7,67209.3,262144.0,88823.0,0.0
1756712767.274024,54337.0,67152.2,262144.0,88827.5,0.0
1756712767.477701,54287.3,67073.6,262144.0,88834.5,0.0
1756712767.679365,54326.2,67073.6,262144.0,88836.6,0.0
1756712767.882453,54369.5,67073.6,262144.0,88825.5,0.0
1756712768.086409,54417.7,67073.6,262144.0,88830.6,0.0
1756712768.346329,54457.6,66659.6,262144.0,88812.5,0.0
1756712768.548823,54500.3,66617.9,262144.0,88830.6,0.0
1756712768.752486,54543.9,66584.2,262144.0,88818.9,0.0
1756712768.958117,54590.8,66542.4,262144.0,88826.0,0.0
1756712769.161933,54632.5,66542.4,262144.0,88814.5,0.0
1756712769.367171,54677.1,66459.7,262144.0,88819.5,0.0
1756712769.572341,54724.3,66396.9,262144.0,88826.1,0.0
1756712769.779002,54771.7,66332.1,262144.0,88814.5,0.0
1756712769.983797,54823.6,66266.8,262144.0,88819.5,0.0
1756712770.187869,54873.5,66222.2,262144.0,88820.2,0.0
1756712770.394009,54923.3,66204.2,262144.0,88819.5,0.0
1756712770.599665,54978.5,66219.6,262144.0,88814.5,0.0
1756712770.803719,55025.4,66212.7,262144.0,88822.7,0.0
1756712771.007848,55064.0,66212.7,262144.0,88825.9,0.0
1756712771.212758,55109.4,66212.7,262144.0,88814.5,0.0
1756712771.417603,55162.7,66213.1,262144.0,88821.5,0.0
1756712771.622385,55214.6,66213.1,262144.0,88816.4,0.0
1756712771.826773,55262.4,66213.1,262144.0,88817.0,0.0
1756712772.029703,55317.2,66213.1,262144.0,88825.9,0.0
1756712772.233226,55364.6,66213.1,262144.0,88818.2,0.0
1756712772.437701,55411.2,66201.1,262144.0,88821.5,0.0
1756712772.641817,55453.8,66201.1,262144.0,88828.1,0.0
1756712772.846162,55503.9,66201.1,262144.0,88816.6,0.0
1756712773.050214,55558.8,66201.1,262144.0,88821.6,0.0
1756712773.254594,55608.5,66201.1,262144.0,88830.4,0.0
1756712773.457618,55658.7,65931.2,262144.0,88819.0,0.0
1756712773.660592,55713.2,65887.8,262144.0,88823.4,0.0
1756712773.862122,55758.1,65887.8,262144.0,88832.2,0.0
1756712774.066733,55810.6,65887.8,262144.0,88817.0,0.0
1756712774.270646,55848.3,65887.8,262144.0,88825.2,0.0
1756712774.477645,55900.5,65763.3,262144.0,88826.6,0.0
1756712774.681033,55951.0,65722.9,262144.0,88812.5,0.0
1756712774.885034,56000.9,65662.7,262144.0,88819.5,0.0
1756712775.093014,56048.8,65662.7,262144.0,88826.1,0.0
1756712775.298287,56094.3,65662.7,262144.0,88820.2,0.0
1756712775.504627,56146.2,66377.1,262144.0,88822.1,0.0
1756712775.707430,56193.2,67044.6,262144.0,88812.0,0.0
1756712775.910407,56243.2,67044.6,262144.0,88817.0,0.0
1756712776.115628,56295.0,67044.6,262144.0,88832.4,0.0
1756712776.319237,56347.0,67044.6,262144.0,88821.4,0.0
1756712776.523502,56404.5,67326.0,262144.0,88826.6,0.0
1756712776.724083,56454.5,67145.2,262144.0,88819.0,0.0
1756712776.929102,56502.4,66977.0,262144.0,88829.7,0.0
1756712777.131699,56552.3,66797.7,262144.0,88814.5,0.0
1756712777.334380,56604.5,66620.6,262144.0,88828.6,0.0
1756712777.541822,56656.4,66473.8,262144.0,88814.5,0.0
1756712777.742816,56702.8,66314.3,262144.0,88819.1,0.0
1756712777.948952,56748.1,66164.7,262144.0,88824.0,0.0
1756712778.152065,56795.0,66032.8,262144.0,88819.0,0.0
1756712778.388842,56834.2,66032.8,262144.0,88814.5,0.0
1756712778.593979,56885.7,65702.5,262144.0,88820.2,0.0
1756712778.798297,56886.4,65537.9,262144.0,88823.6,0.0
1756712779.003316,56804.9,65323.6,262144.0,88816.4,0.0
1756712779.205999,56715.9,65127.9,262144.0,88829.2,0.0
1756712779.408732,56705.2,65014.0,262144.0,88814.5,0.0
1756712779.613091,56638.6,64829.6,262144.0,88821.5,0.0
1756712779.816166,56578.8,64665.5,262144.0,88830.4,0.0
1756712780.020820,56525.6,64661.6,262144.0,88821.6,0.0
1756712780.224874,56479.5,64661.6,262144.0,88826.6,0.0
1756712780.426852,56409.5,64661.6,262144.0,88816.5,0.0
1756712780.632127,56363.7,64273.3,262144.0,88821.5,0.0
1756712780.836413,56331.8,64213.0,262144.0,88830.6,0.0
1756712781.041459,56379.9,64171.6,262144.0,88824.7,0.0
1756712781.247189,56433.2,64171.6,262144.0,88823.6,0.0
1756712781.453703,56485.0,64171.6,262144.0,88814.0,0.0
1756712781.658358,56532.4,64031.4,262144.0,88819.0,0.0
1756712781.860956,56568.5,63987.4,262144.0,88831.7,0.0
